feature,importance_mean,importance_std
Contract,0.07937269110542766,0.005308428540354052
tenure,0.060726026247126,0.0015697547741110945
InternetService,0.009576422795732217,0.004012536692374128
OnlineSecurity,0.007010320597277089,0.0013791958511671324
MultipleLines,0.005270899532408474,0.0008734548928764588
TotalCharges,0.005065843860600883,0.0018312783637827994
TechSupport,0.005015145056705098,0.0017662515284486452
MonthlyCharges,0.0046463677697692884,0.003293445216582963
PaymentMethod,0.0031141013717739946,0.0009887635511684
PaperlessBilling,0.0024180423157405123,0.0017641104059754247
SeniorCitizen,0.0016683781549509669,0.0005463345322452061
StreamingMovies,0.0013979307137875069,0.0006625115542345396
OnlineBackup,0.0010533726006871635,0.0015006262302363147
DeviceProtection,0.00013659614043246004,0.00037636384875775153
Dependents,0.00013272107261877442,0.00039733816471570517
gender,2.454209615333769e-05,0.0004938714428048242
PhoneService,0.0,0.0
Partner,-4.456327985739861e-05,8.505310419144696e-05
StreamingTV,-0.00021264434627610296,0.0009425699071834248
